name,confidence,ptm,plddt,tm1,tm2,rmsd,aligned,pdb
run05_candidate_0794_run05_three_loop_inputs_run05_three_loop_t1_8_model_3_lm0.4358_mut25,0.893429696559906,0.8546317219734192,0.9031291604042053,0.89019,0.93168,1.49,223.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0794_run05_three_loop_inputs_run05_three_loop_t1_8_model_3_lm0.4358_mut25/run05_candidate_0794_run05_three_loop_inputs_run05_three_loop_t1_8_model_3_lm0.4358_mut25_model_0.cif
run05_candidate_0415_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4584_mut21,0.849233090877533,0.640197217464447,0.9014920592308044,0.91123,0.95389,1.43,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0415_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4584_mut21/run05_candidate_0415_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4584_mut21_model_0.cif
run05_candidate_0390_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4612_mut22,0.7807288765907288,0.305097371339798,0.8996367454528809,0.90727,0.94964,1.77,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0390_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4612_mut22/run05_candidate_0390_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4612_mut22_model_0.cif
run05_candidate_0452_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4562_mut21,0.8912553191184998,0.8589478135108948,0.8993321061134338,0.90058,0.94236,1.73,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0452_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4562_mut21/run05_candidate_0452_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4562_mut21_model_0.cif
run05_candidate_0108_run05_three_loop_inputs_run05_three_loop_t2_4_model_1_lm0.4899_mut30,0.8496938943862915,0.6530060172080994,0.8988659381866455,0.89111,0.93245,2.18,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0108_run05_three_loop_inputs_run05_three_loop_t2_4_model_1_lm0.4899_mut30/run05_candidate_0108_run05_three_loop_inputs_run05_three_loop_t2_4_model_1_lm0.4899_mut30_model_0.cif
run05_candidate_0007_run05_three_loop_inputs_run05_three_loop_t5_9_model_1_lm0.5160_mut23,0.8791438341140747,0.8003801107406616,0.898834764957428,0.8856,0.92646,1.9,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0007_run05_three_loop_inputs_run05_three_loop_t5_9_model_1_lm0.5160_mut23/run05_candidate_0007_run05_three_loop_inputs_run05_three_loop_t5_9_model_1_lm0.5160_mut23_model_0.cif
run05_candidate_0245_run05_three_loop_inputs_run05_three_loop_t1_6_model_2_lm0.4737_mut25,0.8792855143547058,0.8029754161834717,0.8983630537986755,0.89853,0.94033,1.93,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0245_run05_three_loop_inputs_run05_three_loop_t1_6_model_2_lm0.4737_mut25/run05_candidate_0245_run05_three_loop_inputs_run05_three_loop_t1_6_model_2_lm0.4737_mut25_model_0.cif
run05_candidate_0840_run05_three_loop_inputs_run05_three_loop_t3_5_model_1_lm0.4328_mut26,0.8817378878593445,0.8153064250946045,0.8983458876609802,0.89413,0.93607,1.34,222.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0840_run05_three_loop_inputs_run05_three_loop_t3_5_model_1_lm0.4328_mut26/run05_candidate_0840_run05_three_loop_inputs_run05_three_loop_t3_5_model_1_lm0.4328_mut26_model_0.cif
run05_candidate_0774_run05_three_loop_inputs_run05_three_loop_t1_8_model_3_lm0.4371_mut25,0.8860238194465637,0.8369808197021484,0.8982846140861511,0.88508,0.92622,1.63,223.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0774_run05_three_loop_inputs_run05_three_loop_t1_8_model_3_lm0.4371_mut25/run05_candidate_0774_run05_three_loop_inputs_run05_three_loop_t1_8_model_3_lm0.4371_mut25_model_0.cif
run05_candidate_0348_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4638_mut27,0.8050064444541931,0.43567368388175964,0.8973395228385925,0.8807,0.92134,2.07,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0348_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4638_mut27/run05_candidate_0348_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4638_mut27_model_0.cif
run05_candidate_0205_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4784_mut24,0.8645476698875427,0.7345525622367859,0.8970465660095215,0.8964,0.93803,1.97,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0205_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4784_mut24/run05_candidate_0205_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4784_mut24_model_0.cif
run05_candidate_0080_run05_three_loop_inputs_run05_three_loop_t3_5_model_0_lm0.4925_mut23,0.7875457406044006,0.34959667921066284,0.8970329761505127,0.89687,0.93848,1.8,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0080_run05_three_loop_inputs_run05_three_loop_t3_5_model_0_lm0.4925_mut23/run05_candidate_0080_run05_three_loop_inputs_run05_three_loop_t3_5_model_0_lm0.4925_mut23_model_0.cif
run05_candidate_0239_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4747_mut23,0.7846325635910034,0.3352639079093933,0.8969746828079224,0.89209,0.93356,2.05,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0239_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4747_mut23/run05_candidate_0239_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4747_mut23_model_0.cif
run05_candidate_0152_run05_three_loop_inputs_run05_three_loop_t5_2_model_2_lm0.4833_mut21,0.8268033266067505,0.5490398406982422,0.8962441086769104,0.92303,0.96648,1.24,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0152_run05_three_loop_inputs_run05_three_loop_t5_2_model_2_lm0.4833_mut21/run05_candidate_0152_run05_three_loop_inputs_run05_three_loop_t5_2_model_2_lm0.4833_mut21_model_0.cif
run05_candidate_0228_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4758_mut25,0.814784824848175,0.490121454000473,0.8959505558013916,0.87997,0.92051,2.08,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0228_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4758_mut25/run05_candidate_0228_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4758_mut25_model_0.cif
run05_candidate_0389_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4612_mut24,0.825789749622345,0.5481199026107788,0.8952071666717529,0.90079,0.9428,1.8,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0389_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4612_mut24/run05_candidate_0389_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4612_mut24_model_0.cif
run05_candidate_0176_run05_three_loop_inputs_run05_three_loop_t5_2_model_2_lm0.4814_mut21,0.8291377425193787,0.5675144195556641,0.8945435285568237,0.90283,0.94478,1.53,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0176_run05_three_loop_inputs_run05_three_loop_t5_2_model_2_lm0.4814_mut21/run05_candidate_0176_run05_three_loop_inputs_run05_three_loop_t5_2_model_2_lm0.4814_mut21_model_0.cif
run05_candidate_0435_run05_three_loop_inputs_run05_three_loop_t2_6_model_3_lm0.4571_mut24,0.8640106320381165,0.7436871528625488,0.8940915465354919,0.90354,0.94555,1.52,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0435_run05_three_loop_inputs_run05_three_loop_t2_6_model_3_lm0.4571_mut24/run05_candidate_0435_run05_three_loop_inputs_run05_three_loop_t2_6_model_3_lm0.4571_mut24_model_0.cif
run05_candidate_0867_run05_three_loop_inputs_run05_three_loop_t2_1_model_3_lm0.4283_mut28,0.8878785967826843,0.8638612031936646,0.8938829898834229,0.87377,0.91433,1.83,221.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0867_run05_three_loop_inputs_run05_three_loop_t2_1_model_3_lm0.4283_mut28/run05_candidate_0867_run05_three_loop_inputs_run05_three_loop_t2_1_model_3_lm0.4283_mut28_model_0.cif
run05_candidate_0689_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4411_mut26,0.8734742403030396,0.7932831048965454,0.8935219645500183,0.89725,0.93896,1.86,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0689_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4411_mut26/run05_candidate_0689_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4411_mut26_model_0.cif
run05_candidate_0214_run05_three_loop_inputs_run05_three_loop_t2_4_model_3_lm0.4769_mut26,0.8645477294921875,0.7501283288002014,0.8931525349617004,0.90183,0.94373,1.41,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0214_run05_three_loop_inputs_run05_three_loop_t2_4_model_3_lm0.4769_mut26/run05_candidate_0214_run05_three_loop_inputs_run05_three_loop_t2_4_model_3_lm0.4769_mut26_model_0.cif
run05_candidate_0200_run05_three_loop_inputs_run05_three_loop_t3_8_model_2_lm0.4786_mut23,0.8633856177330017,0.74833083152771,0.8921493291854858,0.90447,0.94654,1.67,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0200_run05_three_loop_inputs_run05_three_loop_t3_8_model_2_lm0.4786_mut23/run05_candidate_0200_run05_three_loop_inputs_run05_three_loop_t3_8_model_2_lm0.4786_mut23_model_0.cif
run05_candidate_0679_run05_three_loop_inputs_run05_three_loop_t2_7_model_2_lm0.4421_mut23,0.8798012137413025,0.8309661746025085,0.8920099139213562,0.88706,0.92816,1.94,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0679_run05_three_loop_inputs_run05_three_loop_t2_7_model_2_lm0.4421_mut23/run05_candidate_0679_run05_three_loop_inputs_run05_three_loop_t2_7_model_2_lm0.4421_mut23_model_0.cif
run05_candidate_0225_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4761_mut24,0.8340334892272949,0.6024039387702942,0.8919409513473511,0.89112,0.93252,1.9,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0225_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4761_mut24/run05_candidate_0225_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4761_mut24_model_0.cif
run05_candidate_0742_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4388_mut25,0.8902654647827148,0.8857722282409668,0.8913888335227966,0.90748,0.94974,1.58,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0742_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4388_mut25/run05_candidate_0742_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4388_mut25_model_0.cif
run05_candidate_0720_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4401_mut26,0.8903400301933289,0.886396050453186,0.8913260102272034,0.89402,0.93554,1.82,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0720_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4401_mut26/run05_candidate_0720_run05_three_loop_inputs_run05_three_loop_t1_2_model_1_lm0.4401_mut26_model_0.cif
run05_candidate_0376_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4621_mut22,0.8870024085044861,0.8698413968086243,0.8912925720214844,0.9081,0.95048,1.61,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0376_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4621_mut22/run05_candidate_0376_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4621_mut22_model_0.cif
run05_candidate_0367_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4625_mut27,0.8878201842308044,0.8745148181915283,0.8911464810371399,0.89093,0.9324,1.79,225.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0367_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4625_mut27/run05_candidate_0367_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4625_mut27_model_0.cif
run05_candidate_0659_run05_three_loop_inputs_run05_three_loop_t2_7_model_2_lm0.4432_mut22,0.7950415015220642,0.41081011295318604,0.891099214553833,0.88941,0.93049,2.03,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0659_run05_three_loop_inputs_run05_three_loop_t2_7_model_2_lm0.4432_mut22/run05_candidate_0659_run05_three_loop_inputs_run05_three_loop_t2_7_model_2_lm0.4432_mut22_model_0.cif
run05_candidate_0691_run05_three_loop_inputs_run05_three_loop_t3_0_model_0_lm0.4410_mut25,0.782416045665741,0.34820178151130676,0.8909696340560913,0.89024,0.93156,1.76,225.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0691_run05_three_loop_inputs_run05_three_loop_t3_0_model_0_lm0.4410_mut25/run05_candidate_0691_run05_three_loop_inputs_run05_three_loop_t3_0_model_0_lm0.4410_mut25_model_0.cif
run05_candidate_0112_run05_three_loop_inputs_run05_three_loop_t2_4_model_1_lm0.4897_mut29,0.8087494969367981,0.48160526156425476,0.8905355930328369,0.88517,0.92622,2.09,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0112_run05_three_loop_inputs_run05_three_loop_t2_4_model_1_lm0.4897_mut29/run05_candidate_0112_run05_three_loop_inputs_run05_three_loop_t2_4_model_1_lm0.4897_mut29_model_0.cif
run05_candidate_0455_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4561_mut19,0.8294210433959961,0.5899403691291809,0.8892911672592163,0.90888,0.95135,1.67,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0455_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4561_mut19/run05_candidate_0455_run05_three_loop_inputs_run05_three_loop_t3_8_model_1_lm0.4561_mut19_model_0.cif
run05_candidate_0722_run05_three_loop_inputs_run05_three_loop_t5_7_model_2_lm0.4395_mut28,0.8330097198486328,0.6103215217590332,0.8886817097663879,0.89327,0.93482,1.87,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0722_run05_three_loop_inputs_run05_three_loop_t5_7_model_2_lm0.4395_mut28/run05_candidate_0722_run05_three_loop_inputs_run05_three_loop_t5_7_model_2_lm0.4395_mut28_model_0.cif
run05_candidate_0037_run05_three_loop_inputs_run05_three_loop_t2_3_model_4_lm0.4972_mut20,0.8868786692619324,0.8802911043167114,0.8885255455970764,0.92147,0.96494,1.45,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0037_run05_three_loop_inputs_run05_three_loop_t2_3_model_4_lm0.4972_mut20/run05_candidate_0037_run05_three_loop_inputs_run05_three_loop_t2_3_model_4_lm0.4972_mut20_model_0.cif
run05_candidate_0158_run05_three_loop_inputs_run05_three_loop_t3_1_model_2_lm0.4826_mut25,0.7742873430252075,0.3185919523239136,0.888211190700531,0.90383,0.94576,1.62,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0158_run05_three_loop_inputs_run05_three_loop_t3_1_model_2_lm0.4826_mut25/run05_candidate_0158_run05_three_loop_inputs_run05_three_loop_t3_1_model_2_lm0.4826_mut25_model_0.cif
run05_candidate_0209_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4780_mut24,0.8272981643676758,0.5887325406074524,0.886939525604248,0.89378,0.93529,1.76,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0209_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4780_mut24/run05_candidate_0209_run05_three_loop_inputs_run05_three_loop_t5_0_model_3_lm0.4780_mut24_model_0.cif
run05_candidate_0561_run05_three_loop_inputs_run05_three_loop_t1_2_model_3_lm0.4491_mut23,0.8485307097434998,0.6971597075462341,0.8863734602928162,0.89184,0.93312,1.9,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0561_run05_three_loop_inputs_run05_three_loop_t1_2_model_3_lm0.4491_mut23/run05_candidate_0561_run05_three_loop_inputs_run05_three_loop_t1_2_model_3_lm0.4491_mut23_model_0.cif
run05_candidate_0325_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4655_mut28,0.8043510317802429,0.4787082076072693,0.8857617974281311,0.88853,0.92971,1.89,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0325_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4655_mut28/run05_candidate_0325_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4655_mut28_model_0.cif
